AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$ FEARS OUR MIGHT!;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;¡$TAG_0_0_UPPER$ LE TEME A NUESTRA FUERZA!;;;;;;;;x;
AI_LOVES_OTHER_DESC2_LONG;Although history might have put our two countries at odds sometimes, it is clear that fate herself decided to bring us together!', said the $TAG_0_0_ADJ$ government spokesman yesterday in their nation's capital, referring to the recent increase of cooperation with $TAG_0_1$. The abolition of some custom duties between both lands last year and the frequent visits of ambassadors from $TAG_0_0$ seem to show that a guarantee of friendship through a military alliance is indeed a solid possibility.;;Mit Referenz auf die wachsende Kooperation mit $TAG_0_1$ sagte der Sprecher der $TAG_0_0_ADJ$en Regierung gestern in ihrer Hauptstadt, dass 'es klar ist, dass das Schicksal uns zusammengeführt hat, auch wenn es in der Geschichte beider Länder manchmal zu Streitigkeiten gekommen ist!'. Die Abschaffung einiger Zoll-Verpflichtungen zwischen beiden Ländern im vergangenen Jahr und die zahlreichen Besuche des Botschafters von $TAG_0_0$ deuten an, dass eine Freundschaft im Rahmen eines militärischen Bündnisses durchaus möglich ist.;;'Aunque la historia a veces pudo haber puesto a nuestros dos paises en conflicto, ¡está claro que el destino nos ha unido!', dijo ayer el portavoz del gobierno de $TAG_0_0$ en la capital, refiriendose al reciente incremento de la coperación con $TAG_0_1$. La supresión de algunos aranceles entre ambos paises el año pasado y las frecuentes visitas de embajadores de $TAG_0_0$ parecen demostrar que una garantía de amistad a través de una alianza militar es de hecho una posibilidad sólida.;;;;;;;;x;
AI_LOVES_OTHER_DESC2_MEDIUM;Smiling $TAG_0_0_ADJ$ diplomats were seen yesterday at a summit in the $TAG_0_1_ADJ$ capital. '$TAG_0_1$ is our natural ally', mentioned one $TAG_0_0_ADJ$ official. Political analysts predict an alliance pact might be signed soon.;;Lächelnde $TAG_0_0_ADJ$e Diplomaten wurden gestern auf einem Gipfeltreffen in der $TAG_0_1_ADJ$en Hauptstadt gesichtet. '$TAG_0_1$ ist unser natürlicher Verbündeter', sagte ein $TAG_0_0_ADJ$er Offizieller. Politische Analysten sehen die Unterzeichnung eines Bündnisabkommens voraus.;;Ayer fueron vistos a los diplomaticos de $TAG_0_0$ sonriendo en la cumbre que tuvo lugar en la capital de $TAG_0_1$. '$TAG_0_1$ es nuestro aliado natural', dijo un oficial de $TAG_0_0$. Analistas politicos predicen que una alianza entre ambos paises sera firmada pronto.;;;;;;;;x;
AI_LOVES_OTHER_DESC2_SHORT;Prosperity for the Future with our $TAG_0_1_ADJ$ brothers!' is $TAG_0_0_ADJ$ ruling party's newest slogan. Many say this is an indication of a future military alliance.;;Die neueste Devise der führenden $TAG_0_0_ADJ$en Partei lautet: 'Wohlstand für die Zukunft mit unseren $TAG_0_1_ADJ$en Brüdern!'. Viele sehen Anzeichen eines zukünftigen Militär-Bündnisses.;;'Prosperidad para el futuro con nuestros hermanos de $TAG_0_1$!' es el nuevo lema del partido gobernante de $TAG_0_0$ . Muchos dicen que esto es un indicio de una futura alianza militar.;;;;;;;;x;
OTHER_NEW_GP_TITLE1;The Rise of $TAG_0_1$;;Der Aufstieg von $TAG_0_1$;;El ascenso de $TAG_0_1$;;;;;;;;x;
OTHER_NEW_GP_DESC_LONG1;Following $TAG_0_0$'s decline, $TAG_0_1$ assumes higher standing among the nations of the world by ascending to the position of one of the great powers. Many a proof of $TAG_0_0$'s struggling economy, feeble military and waning prestige unveiled over the recent months, as their allies couldn't rely on their assistance and their government became a subject to foreign ploys. Their fall from the ranks of the worthy comes as benefit to $TAG_0_1$, expanding their global esteem, proving that nature doesn't tolerate a vacuum.;;Mit dem Niedergang von $TAG_0_0$ nimmt $TAG_0_1$ eine höhere Stellung unter den Nationen der Welt ein und wird zu einer der Großmächte. Wir sahen in den letzten Monaten viele Beweise für $TAG_0_0$s Wirtschaftsprobleme, schwaches Militär und schwindendes Prestige. Verbündete konnten nicht mehr auf den Rückhalt des Landes setzen und seine Regierung wurde zum Spielball ausländischer Machenschaften. Sein Sturz aus den Rängen der Würdigen begünstigt $TAG_0_1$, stärkt ihr globales Ansehen und beweist, dass die Natur kein Vakuum toleriert.;;Tras el declive de $TAG_0_0$, $TAG_0_1$ asume una posición de superioridad entre las naciones del mundo al convertirse en una gran potencia. Prueba de la difícil situación económica, debilidad militar y disminución del prestigio de $TAG_0_0$ se dió a conocer en los últimos meses, ya que sus aliados no podían contar con su asistencia y su gobierno se convirtió en un sujeto de maniobras extranjeras. Su caída de las filas de los dignos beneficia a $TAG_0_1$, expandiendo su reputación mundial, y demostrando que la naturaleza no tolera el vacío.;;;;;;;;x;
OTHER_NEW_GP_DESC_MEDIUM1;Following $TAG_0_0$'s persisting decline, $TAG_0_1$ assumes higher standing among the nations of the world by ascending to the position of one of the great powers, expanding their global esteem, proving that nature doesn't tolerate a vacuum.;;Mit dem Niedergang von $TAG_0_0$ nimmt $TAG_0_1$ eine höhere Stellung unter den Nationen der Welt ein und wird zu einer der Großmächte, stärkt ihr globales Ansehen und beweist, dass die Natur kein Vakuum toleriert.;;Tras el declive de $TAG_0_0$, $TAG_0_1$ asume una posición de superioridad entre las naciones del mundo al convertirse en una gran potencia, expandiendo su influencia mundial, y demostrando que la naturaleza no tolera el vacío.;;;;;;;;x;
OTHER_NEW_GP_DESC_SHORT1;Following $TAG_0_0$'s persisting decline, $TAG_0_1$ assumes higher standing among the nations of the world by ascending to the position of one of the great powers.;;Mit dem Niedergang von $TAG_0_0$ nimmt $TAG_0_1$ eine höhere Stellung unter den Nationen der Welt ein und wird zu einer der Großmächte.;;Tras el declive de $TAG_0_0$, $TAG_0_1$ asume una posición de superioridad entre las naciones del mundo al convertirse en una gran potencia.;;;;;;;;x;
WE_BECOME_GP_TITLE1;We benefit from $TAG_0_0$'s decline;;Wir profitieren von $TAG_0_0$s Niedergang;;Nos beneficiamos del declive de $TAG_0_0$;;;;;;;;x;
WE_BECOME_GP_DESC_LONG1;Following $TAG_0_0$'s decline, we assume our rightful standing among the nations of the world by ascending to the position of one of the great powers. Many a proof of $TAG_0_0$'s struggling economy, feeble military and waning prestige unveiled over the recent months, as their allies couldn't rely on their assistance and their government became subject to foreign ploys. Their demise from the ranks of the worthy comes as benefit to us, with our global influence and leadership replacing theirs, proving that nature does not tolerate a vacuum.;;Mit dem Niedergang von $TAG_0_0$ nehmen wir unsere rechtmäßige Stellung unter den Nationen dieser Welt als eine der Großmächte ein. Wir sahen in den letzten Monaten viele Beweise für $TAG_0_0$s Wirtschaftsprobleme, schwaches Militär und schwindendes Prestige. Verbündete konnten nicht mehr auf den Rückhalt des Landes setzen und seine Regierung wurde zum Spielball ausländischer Machenschaften. Ihr Sturz aus den Rängen der Würdigen ermöglichte es uns, ihren globalen Einfluss und ihre Führung durch unsere zu ersetzen und beweist, dass die Natur kein Vakuum toleriert.;;Tras el declive de $TAG_0_0$, tomamos nuestro lugar que nos corresponde entre las naciones del mundo como una de las grandes potencias. Prueba de la difícil situación económica, debilidad militar y disminución del prestigio de $TAG_0_0$, se dió a conocer en los últimos meses, ya que sus aliados no podían contar con su asistencia y su gobierno se convirtió en un sujeto de maniobras extranjera. Su caída de las filas de los dignos nos beneficia, con nuestra influencia y liderazgo global reemplazando el suyo, y demostrando que la naturaleza no tolera el vacío.;;;;;;;;x;
WE_BECOME_GP_DESC_MEDIUM1;Following $TAG_0_0$'s decline, we assume our rightful standing among the nations of the world by ascending to the position of one of the great powers. Their demise from the ranks of the worthy comes as benefit to us, with our global influence replacing theirs.;;Mit dem Niedergang von $TAG_0_0$ nehmen wir unsere rechtmäßige Stellung unter den Nationen dieser Welt als eine der Großmächte ein. Ihr Sturz aus den Rängen der Würdigen ermöglichte es uns, ihren globalen Einfluss durch den unseren zu ersetzen.;;Tras el declive de $TAG_0_0$, tomamos nuestro lugar que nos corresponde entre las naciones del mundo como una de las grandes potencias. Su caída de las filas de los dignos nos beneficia, con nuestra influencia global reemplazando la suya.;;;;;;;;x;
WE_BECOME_GP_DESC_SHORT1;Following $TAG_0_0$'s decline, we assume our rightful standing among the nations of the world by ascending to the position of one of the great powers.;;Mit dem Niedergang von $TAG_0_0$ nehmen wir unsere rechtmäßige Stellung unter den Nationen dieser Welt als eine der Großmächte ein.;;Tras el declive de $TAG_0_0$, tomamos nuestro lugar que nos corresponde entre las naciones del mundo como una de las grandes potencias;;;;;;;;x;
WE_LOSE_GP_TITLE1;$TAG_0_1$ benefits from our decline;;$TAG_0_1$ profitiert von unserem Niedergang;;$TAG_0_1$ se beneficia de nuestro declive;;;;;;;;x;
WE_LOSE_GP_DESC_LONG1;Following our country's persisting decline, $TAG_0_1$ assumes higher standing among the nations of the world by ascending to the position of one of the great powers. Many a proof of our struggling economy, feeble military and waning prestige unveiled over the recent months, as our allies couldn't rely on our assistance and our government became a subject to foreign ploys. Our demise from the ranks of the worthy comes as benefit to $TAG_0_1$, expanding their global esteem, proving that nature doesn't tolerate a vacuum.;;Dank unserem fortwährenden Niedergang nimmt $TAG_0_1$ eine höhere Stellung unter den Nationen dieser Welt als eine der Großmächte ein. Wir sahen in den letzten Monaten viele Beweise für unsere Wirtschaftsprobleme, unser schwaches Militär und schwindendes Prestige. Verbündete konnten nicht mehr auf unseren Rückhalt setzen und unsere Regierung wurde zum Spielball ausländischer Machenschaften. Unser Sturz aus den Rängen der Würdigen ermöglichte es $TAG_0_1$, ihr globales Ansehen zu stärken, und beweist, dass die Natur kein Vakuum toleriert.;;Debido a nuestro continuo declive, $TAG_0_1$ asume una posición de superioridad entre las naciones del mundo al convertirse en una gran potencia. Prueba de nuestra difícil situación económica, debilidad militar y disminución de prestigio, se dió a conocer en los últimos meses, ya que nuestros aliados no podían contar con nuestra asistencia y nuestro gobierno se convirtió en un sujeto de maniobras extranjera. Nuestra caída de las filas de los dignos beneficia a $TAG_0_1$, expandiendo su reputación mundial, y demostrando que la naturaleza no tolera el vacío.;;;;;;;;x;
WE_LOSE_GP_DESC_MEDIUM1;Following our country's persisting decline, $TAG_0_1$ assumes higher standing among the nations of the world by ascending to the position of one of the great powers, expanding their global esteem, proving that nature doesn't tolerate a vacuum.;;Dank unserem fortwährenden Niedergang nimmt $TAG_0_1$ eine höhere Stellung unter den Nationen dieser Welt als eine der Großmächte ein, stärkt ihr globales Ansehen, und beweist, dass die Natur kein Vakuum toleriert.;;Debido a nuestro continuo declive, $TAG_0_1$ asume una posición de superioridad entre las naciones del mundo al convertirse en una gran potencia, expandiendo su reputación mundial, y demostrando que la naturaleza no tolera el vacío;;;;;;;;x;
WE_LOSE_GP_DESC_SHORT1;Following our country's persisting decline, $TAG_0_1$ assumes higher standing among the nations of the world by ascending to the position of one of the great powers.;;Dank unserem fortwährenden Niedergang nimmt $TAG_0_1$ eine höhere Stellung unter den Nationen dieser Welt als eine der Großmächte ein.;;Debido a nuestro continuo declive, $TAG_0_1$ asume una posición de superioridad entre las naciones del mundo al convertirse en una gran potencia.;;;;;;;;x;
CRISIS_START_TITLE1;Crisis set in motion!;;Konflikt in Gang gesetzt!;;¡La crisis se pone en marcha!;;;;;;;;x;
CRISIS_START_DESC_LONG1;Whether there still remains any hope to resolve the matter peacefully, noone is able to tell at this point, as great powers of the world lock themselves in the power struggle of the commencing international crisis. A diplomatic settlement of the matter might still remain within reach, but the clock on reaching one quickly runs out, and as the belligerent participants delay the resolution by drawing lines in sand and flexing their muscles in politics of attrition and coercion to reduce or avoid concessions, they might soon find themselves in the dreaded state of war.;;Niemand kann sagen, ob noch Hoffnung besteht, diese Angelegenheit friedlich zu lösen, nun da die Großmächte der Welt im Machtkampf des beginnenden, internationalen Konflikts Position beziehen. Ein diplomatisches Abkommen könnte noch machbar sein, doch die Zeit läuft davon, und die aggressiven Teilnehmer verzögern eine Lösung mit Muskelspielen und Machtspielen in der Politik der Zermürbung und machen Druck, um Zugeständnisse zu verhindern. Sie könnten sich schon bald im gefürchteten Kriegszustand wiederfinden.;;Nadie puede decir si todavía hay esperanza de resolver este asunto pacíficamente, ya que las grandes potencias del mundo se encierran en la lucha de poder debido a la crisis internacional que comienza. Una solución diplomática a la cuestión aún se podria alcanzar, pero el tiempo se agota, y los participantes beligerantes retrasan la resolución dibujando líneas en la arena y flexionando sus músculos en la política de desgaste y la coerción para reducir o evitar las concesiones , es posible que pronto se encuentren en estado de guerra. ;;;;;;;;x;
CRISIS_START_DESC_MEDIUM1;Great powers of the world lock themselves in a power struggle. A diplomatic settlement of the matter might still remain within reach, but the clock on reaching one quickly runs out, as the belligerent parties delay the resolution by drawing lines in sand and flexing their muscles.;;Die Großmächte der Welt beziehen in einem Machtkampf Position. Ein diplomatisches Abkommen könnte noch machbar sein, doch die Zeit läuft davon, und die aggressiven Teilnehmer verzögern eine Lösung mit Muskelspielen und Machtspielen in der Politik.;;Las grandes potencias del mundo se encierran en una lucha de poder. Una solución diplomática a la cuestión aún se podria alcanzar, pero el tiempo se agota, y los participantes beligerantes retrasan la resolución dibujando líneas en la arena y flexionando sus músculos.;;;;;;;;x;
CRISIS_START_DESC_SHORT1;Great powers of the world lock themselves in a power struggle. A diplomatic settlement of the matter might still remain within reach, but the clock on reaching one quickly runs out.;;Die Großmächte der Welt beziehen in einem Machtkampf Position. Ein diplomatisches Abkommen könnte noch machbar sein, doch die Zeit läuft davon.;;Las grandes potencias del mundo se encierran en una lucha de poder. Una solución diplomática a la cuestión aún se podria alcanzar, pero el tiempo se agota.;;;;;;;;x;
CRISIS_END_TITLE1;CRISIS AVERTED!;;KONFLIKT VERHINDERT!;;¡CRISIS EVITADA!;;;;;;;;x;
CRISIS_END_DESC_LONG1;It is peace for our time', great powers announce, emerging from the summit negotiations with a diplomatic resolution to the brewing international crisis, which many claimed might have plunged them into war if a compromise was not reached. 'We declare there is no desire between our peoples to go to war against one another', the competing sides declared, though careful observers took notice that one side might be perceived as the victor, leaving the other with bitter aftertaste of concessions and loss of prestige, threatening the longevity of the signed agreement.;;Die Großmächte verkünden 'Frieden in unserer Zeit', nachdem sie in Gipfeltreffen eine diplomatische Lösung im beginnenden internationalen Konflikt fanden, der nach Meinung vieler ohne Kompromisse zu einem Krieg geführt hätte. 'Wir erklären, dass zwischen unseren Völkern keine Kriegsabsicht besteht', äußerten beide Seiten. Wachsame Beobachter deuten an, dass eine Seite durchaus als Sieger hervorging, während die andere bittere Zugeständnisse und heftigen Prestigeverlust hinnehmen musste, was die Langlebigkeit des unterzeichneten Abkommens in Frage stellt.;;Es la paz para nuestros tiempos', las grandes potencias anuncian, que traen una solucion diplomática a la crisis internacional en las negociaciones de la cumbre. Muchos afirmaron que podrian haber caído en un terrible estado de guerra si no se llegaba a un acuerdo. 'Declaramos que no hay voluntad entre nuestros pueblos para ir a la guerra', aunque los observadores atentos se dieron cuenta de que un lado puede ser visto como el vencedor, dejando al otro con el sabor amargo de las concesiones y la pérdida de prestigio, amenazando la longevidad del acuerdo firmado.;;;;;;;;x;
CRISIS_END_DESC_MEDIUM1;It is peace for our time', great powers announce, emerging from the summit negotiations with a diplomatic resolution to the brewing international crisis, which many claimed might have plunged them into the dreaded state of war if a compromise was not reached.;;Die Großmächte verkünden 'Frieden in unserer Zeit', nachdem sie in Gipfeltreffen eine diplomatische Lösung im beginnenden internationalen Konflikt fanden, der nach Meinung vieler ohne Kompromisse zu einem Krieg geführt hätte.;;Es la paz para nuestros tiempos', las grandes potencias anuncian, que traen una solucion diplomática a la crisis internacional en las negociaciones de la cumbre. Muchos afirmaron que podrian haber caído en un terrible estado de guerra si no se llegaba a un acuerdo.;;;;;;;;x;
CRISIS_END_DESC_SHORT1;It is peace for our time', great powers announce, emerging from the summit negotiations with a diplomatic resolution to the brewing international crisis, averting the possiblity of war.;;Die Großmächte verkünden 'Frieden in unserer Zeit', nachdem sie in Gipfeltreffen eine diplomatische Lösung im beginnenden internationalen Konflikt fanden und Krieg vermeideten.;;'Es la paz para nuestros tiempos', las grandes potencias anuncian, que traen una solucion diplomática a la crisis internacional en las negociaciones de la cumbre, evitando una posible guerra.;;;;;;;;x;
RESEARCH_NEWS_TITLE_LARGE2;Breakthrough in $TAG_0_0$!;;Erfolg in $TAG_0_0$!;;¡Avance en $TAG_0_0$!;;;;;;;;x;
RESEARCH_NEWS_LARGE2;$TAG_0_0_ADJ$ scientists have announced yesterday that after months of dedicated and focused research, a new breakthrough in the field of $STRING_0_1$ has been made. It is expected that the entrepreneurs and government of $TAG_0_0$ will soon start putting this newly acquired knowledge to good use, applying it in practical ways throughout the nation.;;$TAG_0_0_ADJ$e Wissenschaftler verkündeten gestern nach Monaten konzentrierter und engagierter Forschung einen bahnbrechenden Erfolg im $STRING_0_1$-Forschungsfeld. Es wird erwartet, dass Unternehmer und Regierung in $TAG_0_0$ schon bald die neuen Erkenntnisse gewinnbringend in der gesamten Nation einsetzen.;;Científicos $TAG_0_0_ADJ$ han anunciado ayer que después de meses de arduo trabajo y dedicación, han logrado un nuevo avance en el campo de $STRING_0_1$. Se espera que el gobierno de $TAG_0_0$, junto con varios emprendedores, utilice estos nuevos conocimientos para un buen propósito, aplicándolos en formas prácticas a lo largo de la nación.;;;;;;;;x;
RESEARCH_NEWS_TITLE_MEDIUM2;Breakthrough in $TAG_0_0$!;;Erfolg in $TAG_0_0$!;;¡Avance en $TAG_0_0$!;;;;;;;;x;
RESEARCH_NEWS_MEDIUM2;$TAG_0_0_ADJ$ scientists have announced a breakthrough in the field of $STRING_0_1$. This new knowledge will soon be applied in practical ways, said one of the researchers.;;$TAG_0_0_ADJ$e Wissenschaftler verkündeten einen bahnbrechenden Erfolg im $STRING_0_1$-Forschungsfeld. Die neuen Erkenntnisse werten laut einem der Forscher schon bald gewinnbringend eingesetzt werden.;;Científicos $TAG_0_0_ADJ$ han anunciado un avance en el campo de $STRING_0_1$. Este nuevo conocimiento pronto será aplicado en formas prácticas, dijo uno de los investigadores.;;;;;;;;x;
RESEARCH_NEWS_TITLE_SMALL2;Breakthrough in $TAG_0_0$!;;Erfolg in $TAG_0_0$!;;¡Avance en $TAG_0_0$!;;;;;;;;x;
RESEARCH_NEWS_SMALL2;$TAG_0_0_ADJ$ scientists have recently announced a breakthrough in the field of $STRING_0_1$.;;$TAG_0_0_ADJ$e Wissenschaftler verkündeten kürzlich einen bahnbrechenden Erfolg im $STRING_0_1$-Forschungsfeld.;;Científicos $TAG_0_0_ADJ$ han anunciado recientemente un avance en el campo de $STRING_0_1$.;;;;;;;;x ;
COMMUNIST_REVOLUTION_NEWS_TITLE_LARGE_COMMUNIST;COMMUNISM TRIUMPHS IN $TAG_0_0_UPPER$!;;KOMMUNISMUS TRIUMPHIERT IN $TAG_0_0_UPPER$!;;¡EL COMUNISMO TRIUNFA EN $TAG_0_0_UPPER$!;;;;;;;;x;
COMMUNIST_REVOLUTION_NEWS_LARGE_COMMUNIST;Workers of the world, unite!' Once more our rallying cry has proven fitting for such a victorious revolution. The corrupt powers of capitalism cannot stop the desire of the proletariat for a better future. We have received joyous news from our comrades in $TAG_0_0$, who managed to rise in rebellion against the crooks and thieves that mistreated and exploited the common folk. They seized the governmental powers, taking it back where it belongs: the hands of the people, represented by the people's committee: $STRING_0_0$!;;Unser Aufruf 'Proletarier aller Länder, vereinigt Euch!' zeigt sich erneut mehr als passend für eine so siegreiche Revolution. Die korrupten Machenschaften des Kapitalismus können den Wunsch des Proletariats auf eine bessere Zukunft nicht ersticken. Wir erhielten frohe Kunde von unseren Genossen in $TAG_0_0$, deren Rebellion gegen die Gauner und Diebe, die das Volk misshandeln und ausnutzen, sich im Aufwind befindet. Sie haben die Regierungsaufgaben dorthin übertragen, wo sie hingehören: in die Hand des Volkes, repräsentiert durch ein Volkskomitee: $STRING_0_0$!;;"""¡Trabajadores del mundo, únanse!"" Una vez más esta proclama ha servido a la victoria de la revolución. Los corruptos poderes del capitalismo ya no pueden detener el deseo del proletariado por un futuro mejor. Hemos recibido grandes noticias de nuestros camaradas en $TAG_0_0$, quienes se las arreglaron para rebelarse contra los deshonestos criminales que maltrataron y explotaron al pueblo. ¡Ellos tomaron el gobierno por la fuerza, devolviéndoselo a quien le pertenece: al pueblo, representado por el comité popular: $STRING_0_0$!";;;;;;;;x;
COMMUNIST_REVOLUTION_NEWS_TITLE_MEDIUM_COMMUNIST;COMMUNISM IN $TAG_0_0_UPPER$!;;KOMMUNISMUS IN $TAG_0_0_UPPER$!;;¡COMUNISMO EN $TAG_0_0_UPPER$!;;;;;;;;x;
COMMUNIST_REVOLUTION_NEWS_MEDIUM_COMMUNIST;Workers of the world, unite!' This rallying cry can been heard today throughout $TAG_0_0$, where our communist comrades have been victorious in overthrowing the government and establishing the one and true people's party: $STRING_0_0$!;;Der Aufruf 'Proletarier aller Länder, vereinigt Euch!' erschallt heute in ganz $TAG_0_0$, wo unsere kommunistischen Genossen die Regierung erfolgreich stürzten und die einzig wahre Volkspartei etablierten: $STRING_0_0$!;;"""¡Trabajadores del mundo, únanse!"" ¡Esta proclama ha sido escuchada hoy a lo largo de $TAG_0_0$, donde nuestros camaradas comunistas han tenido éxito en dar un golpe de estado y establecer el único y verdadero partido popular: $STRING_0_0$!";;;;;;;;x;
COMMUNIST_REVOLUTION_NEWS_TITLE_SMALL_COMMUNIST;REVOLUTION!;;REVOLUTION!;;¡REVOLUCIÓN!;;;;;;;;x;
COMMUNIST_REVOLUTION_NEWS_SMALL_COMMUNIST;Workers of the world, unite!' This rallying cry can been heard today throughout $TAG_0_0$, where our comrades have been victorious in overthrowing the corrupt capitalist crooks!;;Der Aufruf 'Proletarier aller Länder, vereinigt Euch!' erschallt heute in ganz $TAG_0_0$, wo unsere Genossen die korrupten, kapitalistischen Gauner erfolgreich stürzten!;;"""¡Trabajadores del mundo, únanse!"" ¡Esta proclama ha sido escuchada hoy a lo largo de $TAG_0_0$, donde nuestros camaradas han tenido éxito en expulsar a los corruptos ladrones capitalistas del poder!";;;;;;;;x;
battle_we_lose_large_censored_press;Reports from the field tell us that on $DATE_LONG_0$, our courageous troops have made a tactical retreat from the battle against $TAG_0_3$ in $STRING_0_3$. This has been proven necessary to maximise our element of unpredictability and surprise. $VALUE_INT_0_4$ enemy soldiers have been killed by our valiant boys. Although $VALUE_INT_0_2$ of our soldiers are yet to report back for duty, it's worth noting that many of our troops remain hidden to surprise the enemy in an ambush, showing true courage and resilience!;;Meldungen von der Front berichten, dass unsere tapferen Truppen am $DATE_LONG_0$ einen taktischen Rückzug vom Kampf gegen $TAG_0_3$ in $STRING_0_3$ antraten. Dies erwies sich zur Maximierung unseres Überraschungselements und unserer Unberechenbarkeit als notwendig. $VALUE_INT_0_4$ feindliche Soldaten fanden durch unsere wackeren Jungs den Tod. Auch wenn $VALUE_INT_0_2$ unserer Soldaten noch vermisst werden, sollte nicht vergessen werden, dass viele unserer Truppen weiterhin im Hinterhalt auf den Feind lauern und wahre Tapferkeit und Widerstandskraft beweisen.;;Reportes desde el campo de batalla nos informan que, en $DATE_LONG_0$, nuestras valientes tropas han tenido que realizar una retirada táctica en la batalla contra $TAG_0_3$ en $STRING_0_3$. Esto ha sido necesario para maximizar el elemento de impredicibilidad y sorpresa. $VALUE_INT_0_4$ soldados enemigos han sido asesinados por nuestros muchachos. Aunque unos $VALUE_INT_0_2$ de nuestros soldados aún no se han reportado para su deber, vale la pena destacar que muchas de nuestras tropas se mantienen ocultas para sorprender al enemigo en una emboscada, mostrando verdadero coraje y resistencia.;;;;;;;;x;
battle_we_lose_medium_censored_press;On $DATE_LONG_0$, a tactical retreat from the battle against $TAG_0_3$ has been proven necessary, in order to maximise our element of surprise! $VALUE_INT_0_2$ of our soldiers are said to be hiding for an ambush, while $VALUE_INT_0_4$ enemy troops have been killed!;;Am $DATE_LONG_0$ erwies sich ein taktischer Rückzug vom Kampf gegen $TAG_0_3$ zur Maximierung unseres Überraschungselements als notwendig. Schätzungsweise $VALUE_INT_0_2$ unserer Soldaten verbergen sich weiterhin im Hinterhalt und $VALUE_INT_0_4$ feindliche Truppen fanden den Tod.;;¡En $DATE_LONG_0$, una retirada táctica de la batalla contra $TAG_0_3$ ha sido necesaria para maximizar el elemento sorpresa! ¡$VALUE_INT_0_2$ de nuestros soldados se hallan escondidos para una emboscada, mientras que $VALUE_INT_0_4$ tropas enemigas han sido asesinadas!;;;;;;;;x;
battle_we_lose_small_censored_press;On $DATE_LONG_0$, a tactical retreat has been conducted from the battle against $TAG_0_3$. It is thought $VALUE_INT_0_2$ of our troops are in hiding, preparing for an ambush!;;Am $DATE_LONG_0$ kam es zum taktischen Rückzug vom Kampf gegen $TAG_0_3$. Schätzungsweise $VALUE_INT_0_2$ unserer Soldaten verbergen sich weiterhin im Hinterhalt und lauern auf den Feind.;;En $DATE_LONG_0$, una retirada táctica se produjo en la batalla contra $TAG_0_3$. ¡Se piensa que $VALUE_INT_0_2$ de nuestras tropas están escondidas, preparadas para una emboscada!;;;;;;;;x ;
battle_we_lose_censored_title_large;Interrupted enemy advance in $STRING_0_3$!;;Feindlicher Vorstoß in $STRING_0_3$ verzögert!;;¡Avance enemigo detenido en $STRING_0_3$!;;;;;;;;x;
battle_we_lose_censored_large;They were outnumbered forty to one in some sections of the front, and still held the line' a high military commander praised the bravery of our soldiers, who managed to delay enemy advance in $STRING_0_3$ for as long as it was strategically feasible, and inflicted $VALUE_INT_0_2$ of casualties against our foes. 'We are not ready to publish the number of casualties on our side' a government official replied, when asked about our own losses. 'Our people must rally behind the government when it comes to national defence' he challenged the sceptics.;;Ein hochrangiger militärischer Befehlshaber lobpreiste die Tapferkeit unserer Soldaten, die 'an manchen Frontabschnitten vierzig gegen einen in der Unterzahl waren und dennoch die Stellung hielten' und somit einen feindlichen Vorstoß in $STRING_0_3$ so lange wie strategisch sinnvoll hinauszögerten. $VALUE_INT_0_2$ feindliche Soldaten fanden den Tod. 'Wir haben noch keine Zahlen unserer eigenen Verluste', so ein Regierungssprecher auf unsere diesbezügliche Frage. 'Wir brauchen den Rückhalt unseres Volkes, wenn es um die nationale Verteidigung geht', forderte er alle Skeptiker heraus.;;"""Eran superados en número cuarenta a uno en algunos sectores del frente, y aun así mantuvieron la posición"" dijo un gran comandante al elogiar el arrojo de nuestros soldados, quienes se las arreglaron para demorar el avance enemigo en $STRING_0_3$ el tiempo suficiente para que fuera estratégicamente viable, e infligieron $VALUE_INT_0_2$ bajas contra nuestros enemigos. ""Todavía no estamos listos para publicar el número de bajas en nuestro lado"" respondió un oficial del gobierno cuando se le preguntó acerca de nuestras pérdidas. ""Nuestra gente debe respaldar al gobierno cuando se trata de la defensa nacional"" desafió a los escépticos.";;;;;;;;x;
battle_we_lose_censored_title_medium;Delayed enemy in $STRING_0_3$;;Feind in $STRING_0_3$ aufgehalten;;Enemigo demorado en $STRING_0_3$;;;;;;;;x;
battle_we_lose_censored_medium;Our brave soldiers succeeded in slowing down enemy advance against our territory, fighting a pitched battle against outnumbering force from $TAG_0_2$. 'If we lose every battle in such a great fashion, we might as well win this entire war' a high ranking officer commented.;;Unsere tapferen Soldaten konnten den feindl. Vorstoß mit Erfolg in offener Feldschlacht gegen die zahlenmäßig überlegenen Truppen von $TAG_0_2$ verzögern. 'Wenn wir jedes Gefecht auf so großartige Art verlieren, können wir den Krieg auch gewinnen', sagte ein hochrangiger Offizier.;;"Nuestros valientes soldados tuvieron éxito en demorar el avance enemigo en nuestro territorio, luchando una batalla desigual contra una numerosa fuerza de $TAG_0_2$. ""Si perdiesemos cada batalla con este estilo, podríamos llegar a ganar la guerra""  comentó un oficial de alto rango.";;;;;;;;x;
battle_we_lose_censored_title_small;Moral victory in $STRING_0_3$;;Moralischer Sieg in $STRING_0_3$;;Victoria moral en $STRING_0_3$;;;;;;;;x;
