KEYNAME;TEXT;;TEXT;;TEXTO;;;;;;;;;x
some_fake_1870_3;Is at an all-time high! Yet again our nation’s spas, hospitals and chaise-longues are inundated with victims of corset overtightening.;;Rekordzahlen! Erneut werden die Bäder, Hospitäle und Chaiselongues von Opfern zu eng geschnürter Korsetts überrannt.;;¡Evento sin precedentes! Los spas, hospitales y locales de masaje de nuestra nación están repletos de victimas del “dolor intercostal” causado por el corsé.;;;;;;;;;x
some_fake_1880_title_1;Airborn Success!;;Erfolge der Luftfahrt!;;¡Éxito aéreo!;;;;;;;;;x
some_fake_1880_1;La France, a French military airship, becomes first powered airship to make a successful round trip.;;"Franz. Militär-Luftschiff ""La France"" erstes Luftschiff mit Motorantrieb auf erfolgreicher Rundfahrt.";;“La France”, una aeronave militar francesa, se convierte en la primera aeronave a motor en hacer un viaje de ida y vuelta exitoso.;;;;;;;;;x
some_fake_1880_title_2;High-rise Buildings;;Hochhäuser;;Edificios de altura;;;;;;;;;x
some_fake_1880_2;“Sky-Scrapers” built in America, these massive steel-framed buildings tower over their surroundings.;;“Sky-Scraper” in Amerika, massive stahl-ummantelte Hochhäuser überragen ihre Umgebung.;;“Rascacielos” construidos en EEUU, masivos monstruos de estructura metálica que se alzan firmes sobre sus alrededores.;;;;;;;;;x
some_fake_1880_title_3;Mint juleps saved!;;Mint Julep gerettet!;;¡Licor de menta salvado!;;;;;;;;;x
some_fake_1880_3;Marvin C. Stone, in the USA, invents the ”drinking straw”.;;Marvin C. Stone, USA, erfindet den “Strohhalm”.;;Marvin C. Stone, de EEUU, ha inventado la “pajita para beber”.;;;;;;;;;x
some_fake_1880_title_4;Nothing can go wrong here;;Da kann nichts schiefgehen;;¿Qué puede salir mal?;;;;;;;;;x
some_fake_1880_4;Cure for morphine addiction discovered in USA: Coca-wine!;;Heilung für Morphium-Sucht in USA entdeckt: Koka-Wein!;;Remedio para la adicción a la morfina descubierto en EEUU: ¡Cóctel de cocaína!;;;;;;;;;x
some_fake_1880_title_5;Bismarck resigns;;Bismarck tritt zurück;;Bismarck renuncia;;;;;;;;;x
some_fake_1880_5;Bismarck resigns as Chancellor of Germany, ship of state loses her pilot.;;Bismarck tritt als Kanzler Deutschlands zurück, Schiff des Staates ohne Kapitän.;;Bismarck renuncia como Canciller de Alemania, el Estado pierde a un gran hombre.;;;;;;;;;x
some_fake_1880_title_6;Editorial:;;Redaktionelles:;;Editorial:;;;;;;;;;x
some_fake_1880_6;This socialism will destroy western civilisation. Why, it will empower the working classes, allowing them to believe they are as good and worthy as the rich. Pish & fipsy! (pg 10) ;;Sozialismus wird westliche Zivilisation zerstören (mehr auf Seite 10);;El socialismo va a destruir por completo la civilización occidental. Hacer creer a la clase trabajadora que es tan buena y necesaria como los ricos... ¡Bah! (Ver pág. 10);;;;;;;;;x
some_fake_1880_title_7;Should the American government act?;;Sollte die Regierung Amerikas handeln?;;¿Debería actuar el gobierno estadounidense?;;;;;;;;;x
some_fake_1880_7;Lynchings of members of the negro race have become commonplace across the heartlands of America. The editorial board of this publication asks: Should the state intervene to stop this practise? ;;Lynchmorde unter den Schwarzen nehmen in den mittleren Staaten Amerikas zu. Wir stellen die Frage: Sollte der Staat eingreifen und dem ein Ende setzen?;;Los linchamientos de negros se ha vuelto algo así como una moda en los estados centrales de América. El consejo editorial de esta publicación se pregunta: ¿Debe el Estado intervenir para poner fin a esta práctica?;;;;;;;;;x
some_fake_1890_title_1;Lift off!;;Abheben!;;¡Vuela, vuela!;;;;;;;;;x
some_fake_1890_1;The Ader Eole, a steam powered heavier than air craft, makes a short powered flight near Paris.;;Die Ader Eole, ein dampfgetriebenes Gefährt schwerer als Luft, absolviert kurzen Flug nahe Paris.;;El “Ader Eole”, un monoplano a vapor más pesado que cualquier otra aeronave, ha realizado un breve vuelo en las cercanías de París.;;;;;;;;;x
some_fake_1890_title_2;Successful Flight!;;Erfolgreicher Flug!;;¡Vuelo exitoso!;;;;;;;;;x
some_fake_1890_2;Derwitzer Glider becomes the first successful manned aircraft in the world, covering flight distances of up to about 80 feet near Derwitz in Brandenburg.;;Derwitzer Glider wird erstes erfolgreiches, bemanntes Fluggerät der Welt und überwindet bis zu 80 Fuß Distanz bei Derwitz in Brandenburg.;;El “Derwitzer Glider” se convierte en la primera aeronave tripulada del mundo, habiendo alcanzado una altura de 80 pies cerca de Derwitz en Brandenburgo.;;;;;;;;;x
some_fake_1890_title_3;Moving Pictures!;;Bewegte Bilder!;;¡Fotografías en movimiento!;;;;;;;;;x
some_fake_1890_3;The Kinetoscope astounds viewers by displaying moving pictures at the Brooklyn Institute of Arts and Sciences.;;Kinetoskop beeindruckt Publikum im Brooklyn Insitute of Arts and Sciences mit bewegten Bildern.;;El Kinetoscopio asombra a todos sus videntes con la representación de imágenes en movimientos, en el Instituto de Brooklyn de las Artes y las Ciencias.;;;;;;;;;x
some_fake_1890_title_4;Hurrah! Tis the gay 90s;;Hurra! Hier sind die wilden 90er;;¡Viva los salvajes '90!;;;;;;;;;x
some_fake_1890_4;As a gayer time than now has surely never been and never again will be, the editorial board respectfully suggests that the phrase ‘the gay 90s’ should make its way into the lexicon of our daily discourse.;;Eine wildere Zeit als diese hat es noch nie gegeben und wird es wohl nie wieder geben. Wir schlagen daher vor, den Begriff “Die Wilden 90er” ins Lexikon aufzunehmen.;;Los '90 han sido la década más increíble que ha habido y habrá nunca jamás, por lo que los responsables de esta editorial urgen incluir la expresión “Los Salvajes '90”  de manera oficial en el léxico de todas las lenguas.;;;;;;;;;x
some_fake_1890_title_5;Could man one day soar?;;Kann der Mensch eines Tages fliegen?;;¿Podrá el hombre elevarse?;;;;;;;;;x
some_fake_1890_5;Across our nation, dreamers are speculating that man could one day take to the heavens using mechanical contraptions.;;Landesweit hoffen Träumer, dass der Mensch eines Tages mithilfe mechanischer Geräte den Himmel erobern wird.;;Los más soñadores de nuestra nación se hallan especulando sobre la posibilidad de que el hombre algún día pueda ascender a los Cielos en vida mediante artilugios mecánicos.;;;;;;;;;x
some_fake_1890_title_6;Editorial:;;Redaktionelles:;;Editorial informativo:;;;;;;;;;x
some_fake_1890_6;If He had wished man to fly, He would have granted us wings - a guest commentary written by the ship magnate and major shareholder of this newspaper Charles O'Ligarch. (see pg. 10);;Wenn Gott wollte, das wir fliegen, hätte er uns Flügel gegeben (mehr auf Seite 10);;¡Si Él hubiese querido que el hombre volará, Él le hubiese dado alas! - así afirma el adinerado magnate, principal accionista y responsable de este períodico, Charles O'Ligarch. (Ver pág. 10);;;;;;;;;x
some_fake_1890_title_7;Wrong End Foremost;;Falsches Ende gibt Ton an;;Extremidad equivocada;;;;;;;;;x
some_fake_1890_7;Reputed paleontologist O.C Marsh revealed today that the famed Elasmosaurus assembled by Professor Cope has in fact its head attached to its tail end. The professor was not available for comment.;;Angesehener Paläontologe O.C. Marsh enhüllt, dass der von Professor Cope zusammengesetzte Elasmosaurus seinen Kopf am Schwanz befestigt hat. Cope war nicht für einen Kommentar zu erreichen.;;Reputado paleontólogo, O.C. Marsh, revela hoy que el famoso esqueleto de Elasmosaurio ensamblado por el Profesor Cope tenía la cabeza unida al extremo de la cola. El profesor se encontraba indispuesto por lo que no ha podido hacer ningún comentario al respecto.;;;;;;;;;x
some_fake_1900_title_1;Lighter than air;;Leichter als Luft;;Más ligero que el aire;;;;;;;;;x
some_fake_1900_1;The first zeppelin flight occurs over Lake Constance near Friedrichshafen, Germany.;;Der erste Zeppelinflug  über dem Bodensee in Deutschland, nahe Friedrichshafen.;;El primer vuelo en zepelín toma lugar en el Lago Constance cerca de Friedrichshafen, Alemania.;;;;;;;;;x
some_fake_1900_title_2;Disaster!;;Desaster!;;¡Desastre!;;;;;;;;;x
some_fake_1900_2;A powerful hurricane has hit Galveston, Texas, USA killing around 8,000 people.;;Zerstörerischer Orkan trifft Galveston, Texas, USA und tötet 8.000 Menschen.;;Poderosos huracán azota EEUU en Galveston, Texas, matando alrededor de 8,000 personas.;;;;;;;;;x
some_fake_1900_title_3;Disaster!;;Desaster!;;¡Desastre!;;;;;;;;;x
some_fake_1900_3;In Martinique, Mount Pelée has erupted, destroying the town of Saint-Pierre and killing over 30,000.;;Mount Pelée in Martinique ausgebrochen, Stadt Saint-Pierre vollständig zerstört, über 30.000 Tote.;;Monte Pelée entra en erupción en Martinique, destruyendo el pueblo de Saint-Pierre y matando a más de 30,000 personas.;;;;;;;;;x
some_fake_1900_title_4;Disaster!;;Desaster!;;¡Desastre!;;;;;;;;;x
some_fake_1900_4;Mount Vesuvius has erupted, devastating Naples.;;Der Vesuv ist ausgebrochen, Neapel in Schutt und Asche.;;El Vesuvio entra en erupción, estragos por todo Nápoles.;;;;;;;;;x
some_fake_1900_title_6;Disaster!;;Desaster!;;¡Desastre!;;;;;;;;;x
some_fake_1900_6;An earthquake and tsunami has hit  Messina and Calabria, in Sicily, killing over 70,000 people.;;Erdbeben und Tsunami treffen Messina unnd Kalabrien in Sizilien, mehr als 70.000 tot.;;Terremoto y tsunami azotan simultáneamente Mesina y Calabria, en Sicilia, matando a más de 70,000 personas.;;;;;;;;;x
some_fake_1900_title_7;The Captain of Köpenick;;Der Hauptmann von Köpenick;;El Capitán de Köpenick;;;;;;;;;x
some_fake_1900_7;An impostor masquerading as a German military officer managed to fool soldiers in Berlin and steal over 4000 marks due to so-called suspicions of crooked bookkeeping. He gave a receipt. ;;Hochstapler gibt sich als deutscher Militäroffizier aus, trickst Soldaten in Berlin aus und stiehlt mehr als 4000 Mark wegen angeblich falscher Buchführung. Er gab eine Quittung.;;Impostor haciéndose pasar por oficial alemán consigue engañar a la guarnición de Berlín y robar más de 4,000 marcos gracias a engañosas técnicas de contabilidad. Por suerte, ha dejado un recibo.;;;;;;;;;x
some_fake_1910_title_1;Disaster!;;Desaster!;;¡Desastre!;;;;;;;;;x
some_fake_1910_1;The RMS Titanic, the largest ship ever built, has sunk after striking an iceberg in the North Atlantic during her maiden voyage, over 1,500 people are believed to have perished in the disaster.;;RMS Titanic, größtes jemals gebautes Schiff, nach Zusammenstoß mit Eisberg auf ihrer Jungfernfahrt im Nord-Atlantik gesunken. Mehr als 1.500 Tote erwartet.;;El RMS Titanic, el barco más grande jamás construido, se ha hundido tras chocar con un iceberg en el Atlántico Norte durante su viaje inaugural. Se estima que han muerto 1,500 personas en el desastre.;;;;;;;;;x
some_fake_1910_title_2;Disaster!;;Desaster!;;¡Desastre!;;;;;;;;;x
some_fake_1910_2;North Sea storm hits the Netherlands, flooding the lowlands. 10,000 people believed dead.;;Sturm über der Nordsee setzt Holland unter Wasser, 10.000 Tote erwartet.;;Tormenta azota las costas de los Países Bajos, inundando toda la región. Se estiman alrededor de 10,000 muertos.;;;;;;;;;x
some_fake_1910_title_3;Discovery!;;Entdeckung!;;¡Descubrimiento!;;;;;;;;;x
some_fake_1910_3;Hiram Bingham rediscovers Machu Picchu, a previously unknown Incan city.;;Hiram Bingham entdeckt Machu Pichu wieder, eine vormals unbekannte Inka-Stadt.;;Hiram Bingham descubre Machu Picchu, una ciudad Inca anteriormente desconocida.;;;;;;;;;x
some_fake_1910_title_4;Smokers rejoice!;;Raucher frohlocket!;;¡Los sastres se regocijan!;;;;;;;;;x
some_fake_1910_4;Zipper invented by Gideon Sundback.;;Gideon Sundback erfindet Reißverschluss.;;Nuevo invento patentado por Gideon Sundbäck, llamado “cremallera”.;;;;;;;;;x
some_fake_1910_title_5;Breakfast is saved;;Frühstück gesichert;;El desayuno está salvado;;;;;;;;;x
some_fake_1910_5;Charles Strite invents the  pop-up bread toaster.;;Charles Strite erfindet den Brotröster.;;Charles Strite inventa el tostador de pan.;;;;;;;;;x
some_fake_1910_title_6;Continental drift' postulated;;Kontinentaldrift angenommen;;Teoría de la deriva continental;;;;;;;;;x
some_fake_1910_6;Alfred Wegener, a prominent German scientist, has put forth the theory that the very continents upon which we stand could be moving about on the Earth's surface.;;Bekannter deutscher Wissenschaftler Alfred Wegener entwickelt Theorie, dass die Kontinente, auf denen wir wandeln, auf der Erdoberfläche schwimmen könnten.;;Alfred Wegener, un prominente científico alemán, ha postulado la teoría de que los enormes continentes sobre los que nos hallamos erguidos ahora mismo se mueven muy lentamente por la superficie terrestre.;;;;;;;;;x
some_fake_1910_title_7;General relativity;;Relativitätstheorie;;Teoría de la relatividad;;;;;;;;;x
some_fake_1910_7;Albert Einstein has published his theory of general relativity, a confusing and complicated set of formulae which seeks to explain the relationship between space, time, gravity and a myriad of other forces.;;Albert Einstein veröffentlicht Relativitätstheorie, eine verwirrende und komplexe Formelsammlung, die Zusammenhänge in Raum, Zeit, Schwerkraft und einer Vielzahl anderer Kräfte erklären soll.;;Albert Einstein ha publicado su teoría de la relatividad, un confuso y complicado conjunto de fórmulas que busca explicar la relación entre el espacio, el tiempo, la gravedad y una miríada de otras muchas fuerzas.;;;;;;;;;x
some_fake_1910_title_8;Editorial:;;Redaktionelles:;;Editorial informativo:;;;;;;;;;x
some_fake_1910_8;This feminism will destroy western civilisation. Equality of the sexes is a depravity which no civilised people would contemplate. Why, feminism could lead to women drivers (pg. 10);;Der Feminismus wird westl. Zivilisation zerstören (mehr auf Seite 10);;El feminismo va a destruir por completo la civilización occidental. La igualdad de sexos es una depravación tal que ninguna persona civilizada podría siquiera imaginar tal idea. ¿Por qué? Porque tal idea podría derivar en mujeres que sabrían conducir. (Ver pág. 10);;;;;;;;;x
some_fake_1910_title_9;Free inside:;;Kostenlose Beilage:;;Suplemento gratuito:;;;;;;;;;x
some_fake_1910_9;A 'cross-word puzzle', a whimsical pastime which will nonetheless allow the reader to demonstrate the fortitude of their perspicacity. ;;Ein 'Kreuzwort-Rätsel', ein netter Zeitvertreib, mit dem unsere Leser ihren Scharfsinn demonstrieren können.;;“Sopa de letras”, un caprichoso pasatiempo que pondrá a prueba la perspicacia del lector.;;;;;;;;;x
some_fake_1910_title_10;Sherlock Holmes' ending controversy;;Kontroverse zum Ende von Sherlock Holmes;;Polémico final de “Sherlock Holmes”;;;;;;;;;x
some_fake_1910_10;After a massive fan outcry due to the bittersweet death of the famous detective, author Sir Arthur Conan Doyle decides to bring him back from the dead, providing clarification and closure.;;Nach massivem Aufschrei der Fans zum bittersüßen Ende des berühmten Detektivs, entschließt sich Sir Arthur Conan Doyle ihn wiederzubeleben und verspricht Klarheit und Abschluss.;;Debido a una ola de fans enfurecidos por el agridulce final de la obra que concluye con la muerte de Sherlock Holmes, el autor Sir Arthur Conan Doyle decide devolver de entre los muertos al famoso detective.;;;;;;;;;x
some_fake_1920_title_1;Flight record;;Flugrekord;;Récord de vuelo;;;;;;;;;x
some_fake_1920_1;Charles Lindbergh becomes the first person to fly solo across the Atlantic Ocean (May 20–21, 1927), nonstop from New York to Paris.;;Charles Lindbergh überfliegt als erster Mann solo und nonstop den Atlantischen Ozean von New York nach Paris (20.-21. Mai 1927);;Charles Lindbergh se convierte en la primera persona en cruzar volando el Atlántico, desde Nueva York hasta París. (20-21 de Mayo de 1927);;;;;;;;;x
some_fake_1920_title_2;To the stars!;;Zu den Sternen!;;¡Hacia el infinito y más allá!;;;;;;;;;x
some_fake_1920_2;World’s first flight of a liquid-fueled rocket by Robert Goddard.;;Weltweit erster Raketenflug mit Flüssigtreibstoff von Robert Goddard.;;Primer vuelo de un cohete a reacción, ideado por Robert Goddard.;;;;;;;;;x
some_fake_1920_title_3;An end to beards?;;Das Ende der Bärte?;;¿El final de las barbas?;;;;;;;;;x
some_fake_1920_3;First electric razor patented by the American manufacturer Col. Jacob Schick.;;Erster elektr. Rasierer vom amerikanischen Hersteller Col. Jacob Schick patentiert.;;Primera maquinilla de afeitar eléctrica patentada por el inventor estadounidense Jacob Schick.;;;;;;;;;x
some_fake_1920_title_4;The future of music;;Zukunftsmusik;;El futuro de la música;;;;;;;;;x
some_fake_1920_4;The first selective Jukeboxes introduced by the Automated Musical Instrument Company.;;Erster Musikautomat mit Musikwahl von Automated Musical Instrument Company vorgestellt.;;La primera gramola automatizada inventada por la “Automated Musical Instrument Company”.;;;;;;;;;x
some_fake_1920_title_5;We don't know why;;Wir wissen nicht warum;;No sabemos por qué;;;;;;;;;x
some_fake_1920_5;Pole-sitting fad sweeps western world.;;Pfahlsitzen-Marotte erobert westl. Welt.;;La moda del “pole-sitting”, un ejercicio de aguante que consiste en sentarse en una plataforma hallada en el extremo de un palo largo y mantener el equilibrio, se propaga por el mundo occidental.;;;;;;;;;x
some_fake_1920_title_6;Editorial:;;Redaktionelles:;;Editorial informativo:;;;;;;;;;x
some_fake_1920_6;This 'television' genuinely will destroy western civilisation. Today, horrendous wooden puppets, tomorrow, horrendous drunken and lascivious twenty-somethings? (see page 10);;Fernseher werden westliche Zivilisation vernichten (mehr auf Seite 10);;"La televisión va a destruir por completo la civilización occidental. Hoy: horribles títeres de madera; mañana: ¿macabras representaciones de veinteañeros borrachos e iletrados? (Ver pág. 10)";;;;;;;;;x
some_fake_1920_title_7;Editorial:;;Redaktionelles:;;Editorial informativo:;;;;;;;;;x
some_fake_1920_7;This 'jazz' will destroy western civilisation. Never in the history of music has such a corrupting rhythm been heard. The jungle beat has no place in our repressed society (pg. 10) ;;Jazz wird westl. Zivilisation vernichten (weiter auf Seite 10);;El Jazz va a destruir por completo la civilización occidental. Nunca en la historia de la música se han podido escuchar sonidos tan corrompidos. Tal ritmo propio de habitantes de la jungla no tiene lugar en nuestra exclusiva sociedad. (Ver pág. 10);;;;;;;;;x
some_fake_1920_title_8;The jazz craze!;;Der Jazz-Wahn!;;¡La Fiebre del Jazz!;;;;;;;;;x
some_fake_1920_8;A new fad has awakened the passions of the nation's music-listeners. Frenetic dancing, unchaperoned licentiousness and race-mixing are natural byproducts of this far out and wrong musical form.;;Musikliebhaber von neuer Marotte erfasst: Frenetische Tänze, Zuchtlosigkeit und Rassenvermischung sind Nebenprodukte dieser falschen Musikform.;;Una nueva moda se ha adentrado en los corazones de los más apasionados por la música. Frenético bailoteo, libertinaje sin par y mestizaje son los ingredientes principales de esta nueva y corrupta forma musical.;;;;;;;;;x
some_fake_1920_title_9;Literary digest: Ulysees;;Literatur-Übersicht: Ulysees;;Literatura para todos: Ulises;;;;;;;;;x
some_fake_1920_9;Penned by Irish-man of some repute, James Joyce, Ulysees describes one day in the life of a Dublin protagonist merely living his life in a normal fashion, struggling... (continued on page 19);;Bekannter Ire James Joyce beschreibt in Ulysees einen Tag im Leben eines Protagonisten in Dublin und seinen Widrigkeiten (mehr auf Seite 19);;Escrito por el reputado escritor irlandés, James Joyce, el Ulises nos muestra el día a día del protagonista en Dublín, viviendo una vida normal y luchando cada... (Continuación en la página 19);;;;;;;;;x
some_fake_1920_title_10;To Egypt!;;Auf nach Ägypten!;;¡Hacia Egipto!;;;;;;;;;x
some_fake_1920_10;More astounding archaeological discoveries occured today in the Nile region, furthering the international fascination with all things Oriental... (continued on page 2);;Weitere erstaunliche, archäologische Entdeckungen in der Nil-Region befeuern Faszination mit dem Orientalischen … (weiter auf Seite 2);;Nuevos descubrimientos arqueológicos en la región del Nilo dejan perplejos a toda la comunidad científico, atrayendo toda la atención internacional hacia todo lo relacionado con lo Oriental y... (Continuación en la página 2);;;;;;;;;x
some_fake_1920_title_11;Bauhaus architecture;;Bauhaus-Architektur;;Arquitectura Bauhaus;;;;;;;;;x
some_fake_1920_11;A futuristic new artistic archetectural style, known as Bauhaus, has risen to prominence in the cities of Weimar, Berlin and Dessau.;;Futuristischer, neuer Kunst-Architekturstil, bekannt als Bauhaus, erobert die Städte Weimar, Berlin und Dessau.;;Acaba de nacer un nuevo estilo arquitectónico de cariz futurista, conocido como “Bauhaus”, en las ciudades de Weimar, Berlín y Dessau.;;;;;;;;;x
some_fake_1920_title_12;Oddball duo cause chaos;;Verrücktes Duo erzeugt Chaos;;Dúo excéntrico causa el caos;;;;;;;;;x
some_fake_1920_12;Two men, one fat and one thin, have appeared in court accused of mischief-making and general buffoonery. Due to the severity of the crime, which involved the demolition of a house and theft of an ass, prosecuters are expected to seek the death penalty.;;Zwei Männer, einer dick, einer dünn, stehen wegen groben Unfugs und grober Clownerei vor Gericht. Aufgrund der Schwere der Vorwürfe, die die Zerstörung eines Hauses und Diebstahl umfassen, wird die Forderung der Todesstrafe durch Ankläger erwartet.;;Dos hombres, uno gordo y el otro flaco, han sido acusados de graves cargos de desorden público. Debido a la gravedad de sus crímenes, entre los que se incluyen la demolición de una casa y el robo de un asno, se estima que serán condenados a muerte.;;;;;;;;;x
some_fake_ANY_title_1;Dog bites a child.;;Hund beißt Kind.;;Perro muerde a un niño;;;;;;;;;x
some_fake_ANY_1;Vicious animal attack leaves community in shock, parents concerned with safety of their children demand action. ;;Brutale Tierattacken schockieren Gemeinde, Eltern fürchten um die Sicherheit ihrer Kinder und fordern Taten.;;El ataque de un perverso animal deja atónita a toda la vecindad, los padres preocupados por la seguridad de sus hijos exigen que se haga algo al respecto. ;;;;;;;;;x
some_fake_ANY_title_2;Global cooling.;;Globale Abkühlung.;;Enfriamiento global;;;;;;;;;x
some_fake_ANY_2;Scientists warn another ice age might be starting as recorded temperatures drop from year to year.;;Forscher warnen vor neuer Eiszeit, da Temperaturen jährlich fallen.;;Los científicos informan sobre una posible nueva era de hielo dada el progresivo descenso anual de temperatura.;;;;;;;;;x
some_fake_ANY_title_3;Missing child found;;Vermisstes Kind gefunden;;Encontrado niño desaparecido;;;;;;;;;x
some_fake_ANY_3;He was hiding in a barn! The missing child case resolved after extensive search by local volunteers discovers the child hiding in the nearby abandoned building.;;Versteckt in einer Scheune! Der Fall eines vermissten Kindes fand gutes Ende, nachdem engagierte Suchmannschaften es in einem nahen, verlassenen Gebäude fanden.;;Después de una exhaustiva búsqueda por parte de las autoridades locales y un grupo de voluntarios, se ha conseguido encontrar al niño escondido en el granero cercano a su casa.;;;;;;;;;x
some_fake_ANY_title_5;Damsel brutally murdered;;Maid brutal ermordet;;Damisela brutalmente asesinada;;;;;;;;;x
some_fake_ANY_5;The horrifically-mutilated corpse of a damsel was discovered yesterday tied to a train track. The public is advised to be on the lookout for a man with a large moustache, a top hat and a black opera cloak.;;Entsetzlich entstellter Körper einer jungen Maid wurde gestern, an Eisenbahnschienen gefesselt, gefunden. Fahndung nach Mann mit Schnauzbart, Zylinder und schwarzem Umhang läuft.;;El cadáver mutilado de una damisela desaparecido ha sido encontrado ayer atado a las vías del ferrocarril. Según las investigaciones más recientes el asesino es un hombre adulto con un gran bigote, un sombrero de copa y una capa de ópera negra.;;;;;;;;;x
some_fake_ANY_title_6;Rabbit emerges from hat;;Der Hase aus dem Hut;;Conejo sale de una chistera;;;;;;;;;x
some_fake_ANY_6;A man, who claimed to possess mystic powers, was seen to produce a rabbit from a top hat yesterday. He is currently being investigated on suspicion of unnatural practises.;;Ein Mann mit angeblich mystischen Kräften wurde gestern gesehen, als er einen Hasen aus dem Hut zauberte. Untersuchungen mit Verdacht auf unnatürliche Praktiken im Gange.;;Un hombre, alegando poseer habilidades místicas, mostró ante el público una demostración en la que sacó un conejo de su chistera. Actualmente está siendo investigado como sospechoso de prácticas ocultistas.;;;;;;;;;x
some_fake_ANY_title_7;A glimpse into the year 2000;;Ein Blick in das Jahr 2000;;Visión del año 2000;;;;;;;;;x
some_fake_ANY_7;"A prominent futurologist has granted an insight into the distant year 2000 A.D. Speaking to our futurology correspondent, he said ""By 2000 each landed gentleman will own at least 5 hot-air balloons"".";;Ein bekannter Zukunftsforscher gibt Einblick in das ferne Jahr 2000 A.D. Er sagt: “Im Jahr 2000 besitzt jeder Gentleman wenigstens 5 Heißluftballons”.;;Un prominente futurólogo afirma conocer como será el futuro en el año 2000 d.C. En una entrevista ha compartido parte de ese conocimiento con nosotros: “En el año 2000, todo caballero hacendado poseerá como mínimo 5 globos de aire caliente”.;;;;;;;;;x
some_fake_ANY_title_8;News counterfeiting!;;Gefälschte Nachrichten!;;¡Noticias falsas!;;;;;;;;;x
some_fake_ANY_8;An Irish-man, a Pole, and a Prussian were arrested yesterday as part of an ongoing investigation into a shadowy cabal which concocted news stories and presented them as if they were factual.;;Festnahmen gegen einen Iren, Polen und Preußen im Rahmen der Untersuchung einer Schattenorganisation, die der Erstellung falscher Nachrichten und deren Verkauf als Fakten verdächtigt werden.;;Un irlandés, un polaco y un ruso fueron arrestados ayer como sospechosos de una investigación en curso sobre una organización secreta falsificadora de noticias.;;;;;;;;;x
some_fake_ANY_title_9;12 Gored!;;12 aufgespießt!;;¡12 Cornadas!;;;;;;;;;x
some_fake_ANY_9;An enraged gentleman cow gored 5 men and 7 women to death yesterday. The gentleman cow, who had previously been of a gentle nature, was beheaded by a passing chimney-sweep.;;Wütender Bulle tötete gestern 5 Männer und 7 Frauen. Das vormals als sanft bekannte Tier wurde von einem vorbeikommendem Schornsteinfeger enthauptet.;;Ayer, un toro enfurecido arrolló a 5 hombres y 7 mujeres una y otra vez hasta matarlos. Durante el altercado fue degollado por un deshollinador que pasaba por allí.;;;;;;;;;x
some_fake_ANY_title_10;Bridge collapse!;;Brücke eingestürzt!;;¡Puente se derrumba en la capital!;;;;;;;;;x
some_fake_ANY_10;Claims the life of a butcher just outside our nation's capital. The bucther, who was a character of some repute in the locality in question, is survived by his brother, a baker, and a son who manufactures and sells candlesticks.;;Ein Metzger wurde außerhalb unserer Hauptstadt in den Tod gerissen. Der lokal bekannte Metzger hinterlässt seinen Bruder, einen Bäcker und einen Sohn, der Kerzenhalter herstellt und verkauft.;;Y se cobra la vida de un carnicero justo a la salida de la ciudad. El carnicero, que al parecer era un personaje de cierta reputación en la localidad, ha dejado atrás a su hermano, un panadero, y a su hijo, que se dedicaba a fabricar y vender velas.;;;;;;;;;x
some_fake_ANY_title_11;Balkans quiet;;Ruhe im Balkan;;Calma en los Balcanes;;;;;;;;;x
some_fake_ANY_11;Serbs, Croats, Bosnians, Turks, Bulgarians, Romanians, Albanians and Greeks came together last Sunday to celebrate the great peace in which the Balkan peninsula presently bathes.;;Serben, Kroaten, Bosnier, Türken, Bulgaren, Rumänen, Albaner und Griechen feierten letzten Sonntag den großen Frieden, der zur Zeit im Balkan herrscht.;;Serbios, croatas, bosnios, turcos, búlgaros, rumanos, albanos y griegos se reunieron el pasado domingo para celebrar la actual paz presente en los Balcanes.;;;;;;;;;x
some_fake_ANY_title_12;Letter to the editor;;Brief an den Herausgeber;;Carta al redactor;;;;;;;;;x
some_fake_ANY_12;A reader calls attention to careless ferry pilots putting lives of passengers at risk with their reckless full speed driving and risky manoeuvres. ;;Ein Leser warnt vor leichtsinnigen Fährenkapitänen, die mit rücksichtsloser Geschwindigkeit und riskanten Manövern das Leben ihrer Passagiere riskieren.;;Un lector solicita que se preste mayor atención a la situación actual de los capitanes de ferry: afirma que ponen en peligro la vida de sus pasajeros con sus maniobras temerarias y sus velocidades demoníacas;;;;;;;;;x
some_fake_ANY_title_13;The weather;;Das Wetter;;El tiempo;;;;;;;;;x
some_fake_ANY_13;Probabilities for the next week: Cloudy and rainy, with north and north-east winds and lowering temperatures. ;;Aussichten für nächste Woche: Wolkig und Regen, mit Winden aus Nord und Nordost und niedrigen Temperaturen.;;Pronóstico para la próxima semana: Nublado y con lluvias en diversas zonas de la región, vientos provenientes del norte y el noreste, y una bajada de las temperaturas.;;;;;;;;;x
some_fake_ANY_title_14;Tragic city fire;;Tragisches Feuer in Stadt;;Incendio trágico;;;;;;;;;x
